Start Time,,,Stop Time,,
8/8/2018,11:51:36,AM,8/8/2018,10:25:24,PM
8/8/2018,9:55:51,AM,8/8/2018,9:55:51,PM
8/7/2018,1:18:16,PM,8/7/2018,10:13:12,PM
8/7/2018,12:57:40,PM,8/7/2018,10:10:49,PM
8/6/2018,10:08:06,AM,8/6/2018,12:07:47,PM
8/6/2018,10:05:00,AM,8/6/2018,12:07:47,PM
8/4/2018,10:58:50,AM,8/4/2018,9:14:56,PM
8/4/2018,10:14:11,AM,8/4/2018,9:09:41,PM
8/3/2018,9:24:22,AM,8/3/2018,9:24:22,PM
8/3/2018,9:23:59,AM,8/3/2018,9:23:59,PM
8/2/2018,10:56:53,PM,8/3/2018,1:51:27,AM
8/2/2018,10:40:45,PM,8/3/2018,1:35:25,AM
8/2/2018,10:47:18,AM,8/2/2018,10:47:18,PM
8/1/2018,10:37:44,PM,8/2/2018,12:53:21,AM
8/1/2018,10:06:31,PM,8/2/2018,12:39:21,AM
8/1/2018,10:32:34,AM,8/1/2018,10:32:34,PM
8/1/2018,10:05:52,AM,8/1/2018,10:05:52,PM
